ACCESSIONNUMBER	INDUSTRYGROUPTYPE	INVESTMENTFUNDTYPE	IS40ACT	REVENUERANGE	AGGREGATENETASSETVALUERANGE	FEDERALEXEMPTIONS_ITEMS_LIST	ISAMENDMENT	PREVIOUSACCESSIONNUMBER	SALE_DATE	YETTOOCCUR	MORETHANONEYEAR	ISEQUITYTYPE	ISDEBTTYPE	ISOPTIONTOACQUIRETYPE	ISSECURITYTOBEACQUIREDTYPE	ISPOOLEDINVESTMENTFUNDTYPE	ISTENANTINCOMMONTYPE	ISMINERALPROPERTYTYPE	ISOTHERTYPE	DESCRIPTIONOFOTHERTYPE	ISBUSINESSCOMBINATIONTRANS	BUSCOMBCLARIFICATIONOFRESP	MINIMUMINVESTMENTACCEPTED	OVER100RECIPIENTFLAG	TOTALOFFERINGAMOUNT	TOTALAMOUNTSOLD	TOTALREMAINING	SALESAMTCLARIFICATIONOFRESP	HASNONACCREDITEDINVESTORS	NUMBERNONACCREDITEDINVESTORS	TOTALNUMBERALREADYINVESTED	SALESCOMM_DOLLARAMOUNT	SALESCOMM_ISESTIMATE	FINDERSFEE_DOLLARAMOUNT	FINDERSFEE_ISESTIMATE	FINDERFEECLARIFICATIONOFRESP	GROSSPROCEEDSUSED_DOLLARAMOUNT	GROSSPROCEEDSUSED_ISESTIMATE	GROSSPROCEEDSUSED_CLAROFRESP	AUTHORIZEDREPRESENTATIVE
0001012975-25-000280	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.7	false			true	false					true					false		0		Indefinite	0	Indefinite		false		0	0		0			0		The General Partner will receive a management fee. The management fee will generally be equal to a percentage of aggregate subscriptions as specified in the Issuer's partnership agreement.	false
0001012975-25-000279	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.7	false			true	false					true					false		0		Indefinite	0	Indefinite		false		0	0		0			0		The General Partner will receive a management fee. The management fee will generally be equal to a percentage of aggregate subscriptions as specified in the Issuer's partnership agreement.	false
0001012975-25-000278	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.7	false			true	false					true					false		0		Indefinite	0	Indefinite		false		0	0		0			0		The General Partner will receive a management fee. The management fee will generally be equal to a percentage of aggregate subscriptions as specified in the Issuer's partnership agreement.	false
0001012975-25-000277	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.7	false			true	false					true					false		0		Indefinite	0	Indefinite		false		0	0		0			0		The General Partner will receive a management fee. The management fee will generally be equal to a percentage of aggregate subscriptions as specified in the Issuer's partnership agreement.	false
0001012975-25-000276	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.7	false			true	false					true					false		0		Indefinite	0	Indefinite		false		0	0		0			0		The General Partner will receive a management fee. The management fee will generally be equal to a percentage of aggregate subscriptions as specified in the Issuer's partnership agreement.	false
0001012975-25-000275	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.7	false			true	false					true					false		0		Indefinite	0	Indefinite		false		0	0		0			0		The General Partner will receive a management fee. The management fee will generally be equal to a percentage of aggregate subscriptions as specified in the Issuer's partnership agreement.	false
0001012975-25-000274	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.7	false			true	false					true					false		0		Indefinite	0	Indefinite		false		0	0		0			0		The General Partner will receive a management fee. The management fee will generally be equal to a percentage of aggregate subscriptions as specified in the Issuer's partnership agreement.	false
0001012975-25-000273	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.7	false			true	false					true					false		0		Indefinite	0	Indefinite		false		0	0		0			0			false
0001012975-25-000272	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.7	false			true	false					true					false		0		Indefinite	0	Indefinite		false		0	0	true	0	true	Rede Partners LLP will receive a fee for its services and may be entitled to a discretionary performance-based bonus.	0		The General Partner will receive a management fee. The management fee will generally be equal to a percentage of aggregate subscriptions as specified in the Issuer's partnership agreement.	false
0001012975-25-000271	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.7	false		2025-04-17		false					true					false		0		Indefinite	50000000	Indefinite		false		1	0	true	0	true	Rede Partners LLP will receive a fee for its services and may be entitled to a discretionary performance-based bonus.	0		The General Partner will receive a management fee. The management fee will generally be equal to a percentage of aggregate subscriptions as specified in the Issuer's partnership agreement.	false
